TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,N_PESSOAS_CASA,RENDA_MENSAL_CASA,N_CARRO_CASA,N_MOTO_CASA,N_CELULAR_CASA,N_COMP_CASA,INTERNET_CASA,EST_IDADE
Masculino,Branca,Privada,613.4,620.3,729.3,604.6,800.0,PG incompleto,ES incompleto,3,Mais de R$26.400,Quatro ou mais,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,637.0,621.8,702.7,615.6,920.0,PG incompleto,PG incompleto,3,Mais de R$26.400,Dois,Nenhum,Três,Quatro ou mais,True,18.0
Masculino,Branca,Privada,713.5,760.7,872.7,650.3,820.0,PG completo,PG incompleto,3,Mais de R$26.400,Dois,Dois,Quatro ou mais,Três,True,18.0
Masculino,Parda,Privada,716.0,710.2,885.5,606.9,860.0,PG incompleto,PG incompleto,2,Até R$3960,Um,Um,Dois,Um,True,17.0
Feminino,Branca,Privada,622.7,615.3,745.5,597.0,740.0,PG incompleto,PG incompleto,4,Até R$10560,Dois,Nenhum,Quatro ou mais,Um,True,17.0
Masculino,Parda,Estadual,350.4,370.5,361.4,366.0,480.0,ES incompleto,ES incompleto,5,Até R$3300,Um,Nenhum,Nenhum,Nenhum,True,18.0
Masculino,Branca,Estadual,510.4,370.3,640.5,523.7,560.0,PG completo,ES incompleto,3,Até R$3300,Um,Nenhum,Três,Um,True,17.0
Masculino,Branca,Privada,571.9,615.1,600.5,598.2,820.0,ES incompleto,ES incompleto,4,Até R$9240,Um,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Masculino,Amarela,Privada,633.1,600.9,715.3,532.2,600.0,PG incompleto,PG incompleto,3,Até R$11880,Dois,Nenhum,Três,Um,True,18.0
Masculino,Parda,Estadual,436.7,434.4,503.3,441.5,520.0,EM incompleto,EM incompleto,3,Até R$2640,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,544.6,398.6,498.2,568.3,600.0,ES incompleto,ES incompleto,4,Até R$1980,Nenhum,Nenhum,Dois,Nenhum,False,18.0
Feminino,Branca,Privada,489.4,506.2,689.7,581.3,580.0,ES incompleto,ES incompleto,4,Até R$6600,Um,Nenhum,Quatro ou mais,Um,True,19.0
Masculino,Branca,Privada,612.0,626.1,706.7,585.8,560.0,PG completo,PG incompleto,2,Até R$5280,Um,Nenhum,Dois,Nenhum,True,18.0
Feminino,Parda,Estadual,692.6,548.0,690.6,575.8,920.0,ES incompleto,EM incompleto,3,Até R$2640,Um,Nenhum,Dois,Nenhum,True,18.0
Masculino,Parda,Estadual,581.4,511.4,617.6,576.6,520.0,ES incompleto,EM incompleto,4,Nenhuma renda,Nenhum,Nenhum,Um,Um,True,17.0
Feminino,Parda,Estadual,637.2,517.2,514.0,565.2,680.0,EF-1 incompleto,ES incompleto,3,Até R$6600,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,636.7,594.7,672.7,573.1,840.0,ES incompleto,PG incompleto,3,Até R$5280,Dois,Um,Um,Dois,True,17.0
Feminino,Branca,Privada,676.7,616.4,623.1,640.6,840.0,PG incompleto,ES incompleto,3,Até R$3300,Nenhum,Nenhum,Três,Um,True,18.0
Masculino,Parda,Privada,623.5,644.2,758.6,617.5,600.0,EF-2 incompleto,ES incompleto,4,Até R$5280,Um,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Parda,Estadual,540.3,481.0,502.0,503.2,560.0,ES incompleto,PG completo,4,Até R$19800,Um,Nenhum,Quatro ou mais,Dois,True,18.0
Masculino,Branca,Privada,474.8,403.0,358.4,437.4,0.0,PG incompleto,PG incompleto,5,Até R$9240,Dois,Nenhum,Quatro ou mais,Três,True,18.0
Masculino,Branca,Privada,568.4,605.9,659.8,612.5,740.0,ES incompleto,PG incompleto,4,Até R$7920,Três,Nenhum,Quatro ou mais,Nenhum,True,18.0
Feminino,Amarela,Estadual,604.4,546.6,673.1,610.9,660.0,PG incompleto,ES incompleto,4,Até R$5280,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,691.7,670.8,760.6,611.9,700.0,PG completo,PG incompleto,4,Mais de R$26.400,Três,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Feminino,Branca,Estadual,490.4,545.1,566.7,447.8,900.0,ES incompleto,ES incompleto,4,Até R$3300,Um,Um,Quatro ou mais,Um,True,19.0
Masculino,Branca,Privada,454.4,555.4,584.1,515.2,640.0,ES incompleto,PG incompleto,5,Até R$26400,Um,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Amarela,Privada,635.4,689.7,880.5,606.8,820.0,PG completo,PG completo,4,Até R$15840,Dois,Nenhum,Três,Três,True,18.0
Masculino,Branca,Estadual,468.1,396.9,452.0,472.2,580.0,ES incompleto,ES incompleto,5,Até R$1980,Um,Nenhum,Um,Um,True,17.0
Feminino,Parda,Estadual,571.1,412.9,588.3,559.2,680.0,EF-2 incompleto,EF-2 incompleto,5,Até R$2640,Um,Nenhum,Quatro ou mais,Nenhum,True,18.0
Masculino,Branca,Estadual,461.0,330.9,468.9,394.1,0.0,ES incompleto,ES incompleto,2,Até R$5280,Nenhum,Nenhum,Dois,Um,True,18.0
Feminino,Branca,Estadual,623.2,475.6,630.0,593.5,720.0,ES incompleto,PG incompleto,4,Mais de R$26.400,Nenhum,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Branca,Privada,557.1,457.7,430.0,570.0,680.0,ES incompleto,ES incompleto,4,Até R$3300,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Privada,632.0,640.6,706.5,602.5,900.0,PG completo,PG completo,4,Mais de R$26.400,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Branca,Privada,599.1,624.1,703.1,588.9,560.0,ES incompleto,PG incompleto,5,Até R$26400,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Branca,Privada,601.7,499.1,665.9,604.6,780.0,PG completo,ES incompleto,3,Até R$15840,Dois,Nenhum,Três,Três,True,18.0
Feminino,Parda,Privada,481.2,503.0,404.9,475.8,560.0,EM incompleto,EF-2 incompleto,4,Até R$3300,Dois,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Estadual,511.0,442.2,520.0,500.3,360.0,ES incompleto,ES incompleto,3,Até R$3960,Nenhum,Nenhum,Três,Dois,True,17.0
Masculino,Branca,Privada,689.0,612.7,718.4,600.5,660.0,ES incompleto,PG incompleto,4,Até R$15840,Três,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Parda,Estadual,445.4,483.2,443.6,506.8,460.0,EF-2 incompleto,EM incompleto,2,Até R$1320,Nenhum,Nenhum,Um,Um,True,17.0
Masculino,Parda,Privada,573.6,579.1,730.0,612.2,740.0,ES incompleto,PG incompleto,4,Até R$26400,Um,Nenhum,Três,Um,True,17.0
Masculino,Branca,Estadual,433.3,461.8,399.0,521.9,540.0,EF-2 incompleto,ES incompleto,4,Até R$3300,Um,Nenhum,Três,Um,True,18.0
Masculino,Parda,Estadual,347.9,549.5,463.3,567.1,580.0,ES incompleto,ES incompleto,2,Até R$1320,Nenhum,Nenhum,Dois,Um,True,18.0
Masculino,Branca,Privada,611.5,611.4,699.5,491.8,880.0,ES incompleto,PG completo,3,Até R$13200,Um,Nenhum,Três,Dois,True,18.0
Feminino,Branca,Privada,566.4,579.9,615.1,576.1,720.0,PG incompleto,ES incompleto,4,Até R$3300,Nenhum,Nenhum,Dois,Um,True,18.0
Feminino,Branca,Privada,355.8,0.0,0.0,417.6,440.0,PG completo,PG completo,4,Até R$10560,Dois,Nenhum,Quatro ou mais,Dois,True,19.0
Feminino,Preta,Estadual,573.7,471.0,495.0,505.8,880.0,EM incompleto,ES incompleto,3,Até R$1980,Nenhum,Nenhum,Três,Um,True,18.0
Feminino,Parda,Estadual,516.4,458.4,583.3,503.5,760.0,PG completo,PG completo,2,Até R$6600,Um,Nenhum,Dois,Dois,True,18.0
Masculino,Branca,Estadual,478.0,386.8,494.9,530.2,560.0,EM incompleto,EM incompleto,7,Até R$3300,Um,Nenhum,Quatro ou mais,Nenhum,True,18.0
Masculino,Branca,Estadual,501.7,524.2,603.5,562.5,680.0,EM incompleto,EM incompleto,7,Nenhuma renda,Nenhum,Nenhum,Um,Nenhum,True,18.0
Masculino,Amarela,Privada,575.7,639.1,725.7,566.2,800.0,PG completo,PG incompleto,5,Até R$19800,Nenhum,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,592.3,564.6,605.9,599.4,940.0,ES incompleto,ES incompleto,4,Até R$5280,Um,Nenhum,Nenhum,Um,True,18.0
Masculino,Preta,Estadual,628.4,537.7,495.8,633.7,720.0,ES incompleto,ES incompleto,4,Até R$2640,Um,Um,Três,Nenhum,True,18.0
Feminino,Branca,Privada,556.4,570.2,677.9,556.9,580.0,PG completo,PG completo,3,Mais de R$26.400,Três,Dois,Quatro ou mais,Três,True,17.0
Masculino,Branca,Privada,628.1,543.3,637.6,565.8,800.0,PG completo,PG completo,5,Até R$7920,Um,Nenhum,Quatro ou mais,Três,True,17.0
Feminino,Branca,Privada,614.7,608.3,663.2,577.4,700.0,ES incompleto,PG incompleto,4,Até R$2640,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,567.1,535.6,519.8,566.9,580.0,PG completo,PG incompleto,3,Até R$19800,Dois,Um,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Parda,Estadual,404.5,451.8,427.4,501.9,320.0,PG incompleto,PG incompleto,4,Até R$5280,Um,Um,Quatro ou mais,Dois,True,18.0
Masculino,Branca,Estadual,575.8,513.2,435.9,573.0,540.0,EF-1 incompleto,ES incompleto,3,Até R$5280,Nenhum,Nenhum,Três,Dois,True,18.0
Feminino,Parda,Estadual,610.5,555.9,614.8,556.4,880.0,EF-2 incompleto,EF-2 incompleto,6,Até R$5280,Um,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Branca,Privada,614.3,647.1,763.0,563.3,900.0,PG completo,PG incompleto,4,Até R$10560,Um,Nenhum,Quatro ou mais,Um,True,17.0
Feminino,Parda,Estadual,570.8,502.7,542.5,522.9,620.0,EF-2 incompleto,EF-1 incompleto,3,Até R$1320,Nenhum,Nenhum,Um,Nenhum,False,18.0
Feminino,Parda,Estadual,352.3,424.3,581.4,294.4,820.0,Nunca estudou,Nunca estudou,5,Até R$1320,Nenhum,Nenhum,Nenhum,Nenhum,False,18.0
Masculino,Branca,Estadual,538.8,508.7,519.2,556.8,740.0,PG completo,ES incompleto,3,Até R$9240,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Estadual,392.7,392.0,445.4,403.8,680.0,ES incompleto,EM incompleto,3,Até R$1320,Nenhum,Nenhum,Três,Nenhum,True,18.0
Masculino,Branca,Privada,443.1,439.7,457.6,434.7,520.0,EM incompleto,EM incompleto,5,Até R$6600,Dois,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Branca,Privada,638.1,697.6,774.9,603.6,820.0,PG completo,PG completo,3,Mais de R$26.400,Um,Nenhum,Três,Três,True,17.0
Feminino,Parda,Estadual,496.2,466.2,346.0,576.8,580.0,EM incompleto,EF-2 incompleto,4,Até R$3960,Nenhum,Nenhum,Três,Nenhum,True,18.0
Masculino,Parda,Federal,424.7,438.3,360.4,424.1,480.0,EM incompleto,EF-2 incompleto,2,Até R$1320,Nenhum,Nenhum,Dois,Um,True,19.0
Masculino,Branca,Privada,658.4,633.7,702.4,610.9,860.0,PG incompleto,PG incompleto,3,Até R$9240,Um,Nenhum,Três,Um,True,17.0
Masculino,Branca,Estadual,318.9,450.3,630.7,482.5,560.0,ES incompleto,ES incompleto,4,Até R$3960,Nenhum,Nenhum,Quatro ou mais,Um,True,17.0
Feminino,Parda,Privada,591.8,605.0,699.1,551.0,860.0,PG completo,PG completo,5,Até R$13200,Um,Nenhum,Quatro ou mais,Três,True,17.0
Masculino,Preta,Estadual,444.9,443.0,550.9,460.0,380.0,PG incompleto,PG completo,4,Até R$11880,Três,Nenhum,Quatro ou mais,Três,True,17.0
Masculino,Parda,Estadual,550.8,548.1,489.2,519.9,420.0,ES incompleto,ES incompleto,4,Até R$3960,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,493.3,482.9,684.8,505.2,600.0,PG incompleto,PG incompleto,3,Até R$7920,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Estadual,637.1,549.8,655.9,610.7,700.0,ES incompleto,ES incompleto,3,Até R$1980,Nenhum,Nenhum,Dois,Nenhum,True,18.0
Masculino,Parda,Estadual,507.7,505.6,491.6,509.8,460.0,EF-1 incompleto,ES incompleto,4,Até R$3300,Um,Nenhum,Quatro ou mais,Nenhum,True,18.0
Masculino,Branca,Privada,601.1,557.2,638.0,583.5,620.0,PG incompleto,PG completo,3,Até R$13200,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Estadual,574.5,452.4,529.2,619.3,760.0,ES incompleto,EF-1 incompleto,5,Até R$3300,Um,Nenhum,Três,Um,True,18.0
Masculino,Branca,Privada,536.1,521.1,654.5,487.3,580.0,PG incompleto,PG incompleto,4,Até R$10560,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Branca,Estadual,625.4,551.1,621.0,601.8,740.0,ES incompleto,PG incompleto,3,Até R$3960,Um,Nenhum,Dois,Dois,True,19.0
Masculino,Preta,Estadual,567.4,557.3,627.6,543.6,540.0,ES incompleto,ES incompleto,3,Até R$3960,Um,Nenhum,Dois,Um,False,18.0
Feminino,Branca,Estadual,544.3,547.7,584.4,604.2,640.0,PG incompleto,ES incompleto,2,Até R$1320,Nenhum,Nenhum,Dois,Um,True,17.0
Feminino,Branca,Privada,455.4,439.5,424.8,491.0,540.0,ES incompleto,ES incompleto,5,Até R$3960,Um,Nenhum,Quatro ou mais,Um,True,17.0
Masculino,Branca,Privada,621.0,663.8,796.4,599.7,920.0,PG incompleto,PG incompleto,3,Até R$10560,Dois,Nenhum,Três,Um,True,17.0
Masculino,Branca,Estadual,468.9,451.6,489.6,549.5,680.0,PG completo,ES incompleto,4,Até R$3300,Dois,Um,Quatro ou mais,Três,True,18.0
Masculino,Branca,Privada,660.4,633.6,724.4,612.9,880.0,PG completo,PG incompleto,5,Até R$11880,Um,Nenhum,Quatro ou mais,Três,True,18.0
Masculino,Parda,Estadual,580.9,571.0,708.3,572.9,460.0,EF-2 incompleto,ES incompleto,4,Até R$5280,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Estadual,553.5,427.7,639.2,582.1,880.0,PG incompleto,PG incompleto,3,Até R$3960,Nenhum,Nenhum,Três,Um,True,17.0
Masculino,Branca,Privada,484.5,435.4,460.1,501.6,660.0,ES incompleto,PG incompleto,4,Até R$7920,Um,Nenhum,Quatro ou mais,Três,True,17.0
Masculino,Branca,Estadual,554.2,548.6,476.1,553.5,640.0,EF-2 incompleto,EF-2 incompleto,2,Até R$1980,Nenhum,Nenhum,Dois,Dois,True,18.0
Masculino,Branca,Privada,561.2,582.7,621.8,562.3,740.0,PG incompleto,PG completo,4,Até R$26400,Um,Nenhum,Três,Três,True,18.0
Masculino,Amarela,Privada,616.1,563.9,605.3,569.9,440.0,PG completo,PG completo,3,Até R$13200,Um,Nenhum,Três,Três,True,18.0
Masculino,Parda,Estadual,368.8,388.1,365.6,369.5,320.0,EF-1 incompleto,Nunca estudou,4,Até R$1320,Nenhum,Nenhum,Um,Nenhum,True,18.0
Feminino,Branca,Privada,569.9,631.7,722.9,571.2,860.0,EF-1 incompleto,EM incompleto,3,Até R$26400,Três,Nenhum,Quatro ou mais,Três,True,18.0
Feminino,Branca,Privada,614.6,507.2,683.0,621.5,800.0,EM incompleto,EM incompleto,4,Até R$2640,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,628.3,668.6,674.5,628.5,800.0,ES incompleto,PG incompleto,3,Até R$26400,Quatro ou mais,Nenhum,Quatro ou mais,Três,True,17.0
Masculino,Parda,Estadual,518.8,525.5,572.9,480.5,520.0,Nunca estudou,Nunca estudou,6,Nenhuma renda,Nenhum,Nenhum,Nenhum,Nenhum,False,18.0
Masculino,Parda,Estadual,546.1,522.5,515.5,439.8,720.0,PG incompleto,PG completo,3,Até R$7920,Dois,Nenhum,Três,Dois,True,18.0
Masculino,Branca,Privada,619.9,551.2,728.2,578.9,900.0,EF-2 incompleto,ES incompleto,4,Até R$15840,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Amarela,Privada,625.5,690.2,772.3,627.2,840.0,ES incompleto,PG completo,3,Até R$5280,Dois,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,643.7,564.9,732.0,639.5,700.0,PG incompleto,ES incompleto,2,Até R$6600,Um,Nenhum,Três,Um,True,18.0
Masculino,Branca,Estadual,598.3,539.2,550.2,576.7,800.0,EF-1 incompleto,PG incompleto,2,Até R$1320,Nenhum,Nenhum,Dois,Um,True,18.0
Feminino,Branca,Privada,495.9,456.5,646.1,509.0,520.0,ES incompleto,PG incompleto,3,Até R$5280,Dois,Um,Quatro ou mais,Um,True,18.0
Masculino,Preta,Privada,516.4,492.2,480.5,567.8,580.0,PG incompleto,ES incompleto,4,Até R$15840,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Branca,Estadual,572.3,539.4,632.1,563.2,840.0,ES incompleto,ES incompleto,4,Até R$3960,Um,Um,Três,Um,True,18.0
Feminino,Branca,Privada,628.9,587.3,743.8,613.6,860.0,PG completo,PG completo,3,Mais de R$26.400,Dois,Nenhum,Três,Dois,True,17.0
Masculino,Branca,Estadual,609.8,498.9,742.6,597.8,840.0,ES incompleto,PG incompleto,3,Até R$9240,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Estadual,564.4,422.9,475.2,547.8,400.0,EF-1 incompleto,ES incompleto,3,Até R$3300,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Estadual,542.0,469.1,419.9,532.3,700.0,ES incompleto,ES incompleto,2,Até R$1320,Nenhum,Nenhum,Dois,Um,True,18.0
Masculino,Branca,Estadual,502.2,468.2,464.3,533.4,420.0,ES incompleto,PG incompleto,4,Até R$1320,Dois,Nenhum,Um,Um,True,18.0
Masculino,Amarela,Privada,490.2,519.0,566.0,496.1,360.0,PG completo,PG incompleto,3,Até R$15840,Um,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Branca,Estadual,526.3,563.3,517.6,550.7,520.0,ES incompleto,PG incompleto,4,Até R$1980,Um,Nenhum,Três,Dois,True,18.0
Masculino,Parda,Privada,604.3,553.9,617.0,549.3,700.0,PG completo,PG incompleto,5,Até R$3960,Um,Nenhum,Três,Dois,True,18.0
Masculino,Branca,Privada,627.3,568.3,633.4,548.5,700.0,PG incompleto,PG incompleto,3,Até R$11880,Um,Nenhum,Três,Dois,True,17.0
Feminino,Branca,Privada,598.5,526.1,616.3,511.8,660.0,ES incompleto,PG completo,5,Até R$9240,Um,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Branca,Privada,634.2,596.5,687.8,511.4,900.0,PG incompleto,PG completo,4,Até R$26400,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Parda,Estadual,546.9,532.7,567.0,552.2,560.0,ES incompleto,EM incompleto,7,Até R$1980,Um,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Preta,Estadual,573.6,557.2,544.2,547.4,560.0,EM incompleto,ES incompleto,4,Até R$3300,Um,Dois,Três,Um,True,18.0
